scaffold	start	end	mid	sites	ML_rho
chr19	1	100000	54458	3606	0.02200000
chr19	100001	200000	146784	2851	0.02400000
chr19	200001	300000	253441	5936	0.03000000
chr19	300001	400000	347606	6324	0.08600000
chr19	400001	500000	450599	8832	0.13400000
chr19	500001	600000	549470	7634	0.10100000
chr19	600001	700000	650184	7677	0.21100000
chr19	700001	800000	746108	7531	0.28700000
chr19	800001	900000	850578	7334	0.30100000
chr19	900001	1000000	956105	6324	0.30100000
chr19	1000001	1100000	1052103	6507	0.17600000
chr19	1100001	1200000	1146533	6428	0.44000000
chr19	1200001	1300000	1249746	6668	0.44000000
chr19	1300001	1400000	1346711	5991	0.15100000
chr19	1400001	1500000	1449624	5773	0.17500000
chr19	1500001	1600000	1554264	6310	0.13400000
chr19	1600001	1700000	1646345	6582	0.22000000
chr19	1700001	1800000	1749607	5446	0.18400000
chr19	1800001	1900000	1849636	6099	0.60600000
chr19	1900001	2000000	1947354	5412	0.53400000
chr19	2000001	2100000	2053393	5365	0.90100000
chr19	2100001	2200000	2151365	5433	0.45200000
chr19	2200001	2300000	2254452	5349	0.56700000
chr19	2300001	2400000	2348896	5137	0.60100000
chr19	2400001	2500000	2439334	2768	0.25000000
chr19	2500001	2600000	2555506	4190	0.40100000
chr19	2600001	2700000	2650411	5179	0.60100000
chr19	2700001	2800000	2750631	6367	0.60100000
chr19	2800001	2900000	2850354	5451	0.77000000
chr19	2900001	3000000	2947251	5586	0.40100000
chr19	3000001	3100000	3049244	5340	0.75000000
chr19	3100001	3200000	3150809	5629	0.62700000
chr19	3200001	3300000	3248706	5240	0.07600000
chr19	3300001	3400000	3348957	5223	0.40000000
chr19	3400001	3500000	3449994	5001	0.96900000
chr19	3500001	3600000	3551996	4687	0.63700000
chr19	3600001	3700000	3650093	5041	0.20200000
chr19	3700001	3800000	3748905	4928	0.12600000
chr19	3800001	3900000	3853174	5348	0.46600000
chr19	3900001	4000000	3951818	5414	0.22000000
chr19	4000001	4100000	4050484	5300	0.15100000
chr19	4100001	4200000	4152412	5259	0.12000000
chr19	4200001	4300000	4249854	5426	0.15600000
chr19	4300001	4400000	4349389	3900	0.50000000
chr19	4400001	4500000	4452244	5880	0.52700000
chr19	4500001	4600000	4546262	5219	0.70100000
chr19	4600001	4700000	4648547	4986	0.30100000
chr19	4700001	4800000	4750653	5289	0.74300000
chr19	4800001	4900000	4849979	6110	0.71500000
chr19	4900001	5000000	4950843	5545	0.45100000
chr19	5000001	5100000	5046977	5646	0.30100000
chr19	5100001	5200000	5150634	4551	0.17500000
chr19	5200001	5300000	5251409	5483	0.15100000
chr19	5300001	5400000	5351823	5821	0.30100000
chr19	5400001	5500000	5448575	6542	0.55100000
chr19	5500001	5600000	5551104	6304	0.87500000
chr19	5600001	5700000	5647859	7032	0.60100000
chr19	5700001	5800000	5746387	6886	0.36700000
chr19	5800001	5900000	5850934	5743	0.32500000
chr19	5900001	6000000	5949207	5763	0.20100000
chr19	6000001	6100000	6053178	5397	0.15100000
chr19	6100001	6200000	6147628	6197	0.67500000
chr19	6200001	6300000	6247514	6455	0.52500000
chr19	6300001	6400000	6352350	6001	0.50000000
chr19	6400001	6500000	6448290	5954	0.80100000
chr19	6500001	6600000	6553814	5452	0.32000000
chr19	6600001	6700000	6648901	6700	0.70000000
chr19	6700001	6800000	6754296	6253	0.90000000
chr19	6800001	6900000	6849661	5963	0.15100000
chr19	6900001	7000000	6953081	5395	0.13400000
chr19	7000001	7100000	7052179	5021	0.36700000
chr19	7100001	7200000	7154183	5735	0.40100000
chr19	7200001	7300000	7250913	6446	0.95800000
chr19	7300001	7400000	7351046	6053	1.04200000
chr19	7400001	7500000	7440767	3597	0.70200000
chr19	7500001	7600000	7556801	4559	0.50000000
chr19	7600001	7700000	7650822	5182	0.30100000
chr19	7700001	7800000	7750104	4885	0.26700000
chr19	7800001	7900000	7847622	5502	0.14100000
chr19	7900001	8000000	7947632	5297	0.80100000
chr19	8000001	8100000	8048453	5361	0.61100000
chr19	8100001	8200000	8147961	5328	0.30100000
chr19	8200001	8300000	8248986	5758	1.00000000
chr19	8300001	8400000	8352521	5731	0.72000000
chr19	8400001	8500000	8451634	5464	1.15100000
chr19	8500001	8600000	8551257	4465	1.46600000
chr19	8600001	8700000	8652685	5281	1.41700000
chr19	8700001	8800000	8748171	2451	0.52100000
chr19	8800001	8900000	8851950	5202	0.95000000
chr19	8900001	9000000	8946797	3260	1.25000000
chr19	9000001	9100000	9060829	3573	0.86900000
chr19	9100001	9200000	9154482	5086	0.47500000
chr19	9200001	9300000	9254573	3922	0.45000000
chr19	9300001	9400000	9354072	4877	1.10000000
chr19	9400001	9500000	9445116	4014	0.67600000
chr19	9500001	9600000	9543423	3867	0.58000000
chr19	9600001	9700000	9646132	4737	0.86700000
chr19	9700001	9800000	9749965	5764	1.00000000
chr19	9800001	9900000	9847451	5257	0.61700000
chr19	9900001	10000000	9955606	5513	0.60200000
chr19	10000001	10100000	10046292	5659	0.71700000
chr19	10100001	10200000	10151575	4033	0.75600000
chr19	10200001	10300000	10250508	4761	0.22500000
chr19	10300001	10400000	10348360	4950	0.30200000
chr19	10400001	10500000	10453883	4857	0.36700000
chr19	10500001	10600000	10550156	6115	0.24000000
chr19	10600001	10700000	10647550	5316	0.46700000
chr19	10700001	10800000	10744550	5243	0.77800000
chr19	10800001	10900000	10849979	4901	0.20100000
chr19	10900001	11000000	10950661	4925	0.60200000
chr19	11000001	11100000	11052804	4995	0.76000000
chr19	11100001	11200000	11148385	5428	0.50000000
chr19	11200001	11300000	11251288	5904	0.13400000
chr19	11300001	11400000	11351765	4783	0.56800000
chr19	11400001	11500000	11445703	4365	0.25000000
chr19	11500001	11600000	11550984	4746	0.12100000
chr19	11600001	11700000	11653894	4441	0.06000000
chr19	11700001	11800000	11750050	5420	0.35400000
chr19	11800001	11900000	11850851	4808	0.40100000
chr19	11900001	12000000	11950481	5263	0.40100000
chr19	12000001	12100000	12055525	4724	0.20100000
chr19	12100001	12200000	12149521	5275	0.03400000
chr19	12200001	12300000	12252759	4426	0.06000000
chr19	12300001	12400000	12348831	5495	0.21000000
chr19	12400001	12500000	12445779	5491	0.06700000
chr19	12500001	12600000	12549700	4544	0.02000000
chr19	12600001	12700000	12654753	4160	0.01200000
chr19	12700001	12800000	12751311	5469	0.10000000
chr19	12800001	12900000	12852081	5140	0.26200000
chr19	12900001	13000000	12954771	5197	0.13400000
chr19	13000001	13100000	13046791	5850	0.03400000
chr19	13100001	13200000	13150367	5893	0.12000000
chr19	13200001	13300000	13253400	3686	0.22200000
chr19	13300001	13400000	13351208	5352	0.20000000
chr19	13400001	13500000	13449468	5166	0.24000000
chr19	13500001	13600000	13543102	3217	0.25300000
chr19	13600001	13700000	13653162	4390	0.30100000
chr19	13700001	13800000	13748191	5037	0.72300000
chr19	13800001	13900000	13852185	5078	0.33500000
chr19	13900001	14000000	13944355	4625	0.95000000
chr19	14000001	14100000	14053698	5581	0.95000000
chr19	14100001	14200000	14147497	3918	0.85300000
chr19	14200001	14300000	14252834	6194	0.31700000
chr19	14300001	14400000	14346242	6379	0.74900000
chr19	14400001	14500000	14452739	4927	0.57500000
