scaffold	start	end	mid	sites	ML_rho
chr17	1	100000	46431	2950	0.02500000
chr17	100001	200000	160495	2814	0.02900000
chr17	200001	300000	255688	5497	0.05100000
chr17	300001	400000	353298	6102	0.24000000
chr17	400001	500000	453582	6517	0.15100000
chr17	500001	600000	552692	7260	0.36700000
chr17	600001	700000	648563	7083	0.38000000
chr17	700001	800000	752627	8130	0.40100000
chr17	800001	900000	849162	8322	0.45100000
chr17	900001	1000000	949718	7764	0.36700000
chr17	1000001	1100000	1046254	6297	0.10100000
chr17	1100001	1200000	1151883	5152	0.16000000
chr17	1200001	1300000	1249644	5877	0.73400000
chr17	1300001	1400000	1347746	6051	0.73700000
chr17	1400001	1500000	1448490	5901	0.72500000
chr17	1500001	1600000	1538956	4097	0.60100000
chr17	1600001	1700000	1644796	6132	0.80100000
chr17	1700001	1800000	1750129	6380	0.50300000
chr17	1800001	1900000	1847598	4979	0.75000000
chr17	1900001	2000000	1947930	5209	0.76700000
chr17	2000001	2100000	2051464	5133	0.87500000
chr17	2100001	2200000	2147942	4965	0.86700000
chr17	2200001	2300000	2247462	5369	0.79400000
chr17	2300001	2400000	2346843	5129	1.00000000
chr17	2400001	2500000	2448487	5096	0.30100000
chr17	2500001	2600000	2551342	5226	0.08100000
chr17	2600001	2700000	2647749	4925	0.17500000
chr17	2700001	2800000	2749921	5085	0.05000000
chr17	2800001	2900000	2844229	4644	0.77100000
chr17	2900001	3000000	2953633	5330	0.40100000
chr17	3000001	3100000	3047214	5892	0.30100000
chr17	3100001	3200000	3152934	6095	0.40100000
chr17	3200001	3300000	3250684	5729	0.83400000
chr17	3300001	3400000	3347708	5548	0.75000000
chr17	3400001	3500000	3450967	5594	0.83400000
chr17	3500001	3600000	3549483	5063	0.75000000
chr17	3600001	3700000	3651116	5904	0.65100000
chr17	3700001	3800000	3753249	4505	0.30100000
chr17	3800001	3900000	3850944	5688	0.10100000
chr17	3900001	4000000	3942133	4066	0.50000000
chr17	4000001	4100000	4052485	5730	0.90100000
chr17	4100001	4200000	4147381	5817	0.90100000
chr17	4200001	4300000	4245000	4430	0.50400000
chr17	4300001	4400000	4347242	5385	0.50000000
chr17	4400001	4500000	4451203	4616	0.85100000
chr17	4500001	4600000	4550840	5420	0.30100000
chr17	4600001	4700000	4653019	4703	0.43500000
chr17	4700001	4800000	4752512	5981	0.25000000
chr17	4800001	4900000	4847162	5107	0.15000000
chr17	4900001	5000000	4950841	4887	0.52500000
chr17	5000001	5100000	5050483	4918	0.40000000
chr17	5100001	5200000	5148139	5506	0.70100000
chr17	5200001	5300000	5249326	4028	0.70200000
chr17	5300001	5400000	5351859	5340	0.32700000
chr17	5400001	5500000	5448915	5762	1.28600000
chr17	5500001	5600000	5549806	5214	0.86800000
chr17	5600001	5700000	5652069	5984	0.15000000
chr17	5700001	5800000	5750988	5967	0.17700000
chr17	5800001	5900000	5847161	5044	0.12500000
chr17	5900001	6000000	5949336	5290	0.60100000
chr17	6000001	6100000	6050284	5266	0.46700000
chr17	6100001	6200000	6155242	3340	1.05600000
chr17	6200001	6300000	6247921	5420	0.22500000
chr17	6300001	6400000	6349084	4592	0.73800000
chr17	6400001	6500000	6449997	4861	0.65100000
chr17	6500001	6600000	6549373	5236	0.86700000
chr17	6600001	6700000	6650827	5344	0.30100000
chr17	6700001	6800000	6750873	5450	0.30100000
chr17	6800001	6900000	6850065	4426	0.33600000
chr17	6900001	7000000	6951103	4858	0.05100000
chr17	7000001	7100000	7048882	4617	0.02000000
chr17	7100001	7200000	7147734	5792	0.10100000
chr17	7200001	7300000	7253151	5072	0.05100000
chr17	7300001	7400000	7354082	4281	0.10100000
chr17	7400001	7500000	7455746	5665	0.30200000
chr17	7500001	7600000	7544095	4790	0.50000000
chr17	7600001	7700000	7650312	3544	1.00000000
chr17	7700001	7800000	7750078	6103	0.90100000
chr17	7800001	7900000	7850842	4946	0.75000000
chr17	7900001	8000000	7951946	5518	0.36700000
chr17	8000001	8100000	8050047	5565	0.18000000
chr17	8100001	8200000	8142793	4829	0.60100000
chr17	8200001	8300000	8254611	4076	0.70100000
chr17	8300001	8400000	8347656	5309	1.10100000
chr17	8400001	8500000	8454143	4696	0.40100000
chr17	8500001	8600000	8547550	4319	0.52500000
chr17	8600001	8700000	8654584	3564	0.86000000
chr17	8700001	8800000	8748548	4564	1.46800000
chr17	8800001	8900000	8851654	4759	1.00000000
chr17	8900001	9000000	8948604	4206	1.10100000
chr17	9000001	9100000	9047398	4389	0.93400000
chr17	9100001	9200000	9151334	4906	0.55600000
chr17	9200001	9300000	9249692	5806	0.20100000
chr17	9300001	9400000	9351035	6773	1.00000000
chr17	9400001	9500000	9454062	6099	0.40000000
chr17	9500001	9600000	9541526	5209	0.55000000
chr17	9600001	9700000	9653169	4815	0.70100000
chr17	9700001	9800000	9759641	4978	0.50000000
chr17	9800001	9900000	9853338	4599	1.40000000
chr17	9900001	10000000	9940900	3548	1.20000000
chr17	10000001	10100000	10047166	2642	0.76000000
chr17	10100001	10200000	10149088	5638	1.10000000
chr17	10200001	10300000	10246380	5455	1.23500000
chr17	10300001	10400000	10350810	6101	0.93400000
chr17	10400001	10500000	10448916	4220	0.60000000
chr17	10500001	10600000	10549873	5810	0.25200000
chr17	10600001	10700000	10652744	5738	0.60100000
chr17	10700001	10800000	10750142	4807	0.70100000
chr17	10800001	10900000	10852912	7195	0.90100000
chr17	10900001	11000000	10955367	5628	1.40100000
chr17	11000001	11100000	11053131	6480	1.90200000
chr17	11100001	11200000	11148911	6780	1.10100000
chr17	11200001	11300000	11258551	6321	0.11000000
chr17	11300001	11400000	11348580	6872	0.05000000
chr17	11400001	11500000	11448167	5770	0.06000000
chr17	11500001	11600000	11555332	5575	0.10100000
chr17	11600001	11700000	11654017	6444	0.11700000
chr17	11700001	11800000	11751773	6285	0.23400000
chr17	11800001	11900000	11848737	6420	0.10100000
chr17	11900001	12000000	11948062	7217	0.30100000
chr17	12000001	12100000	12054430	5154	0.13400000
chr17	12100001	12200000	12145947	6312	0.14100000
chr17	12200001	12300000	12250589	7039	0.16800000
chr17	12300001	12400000	12348813	6493	0.50000000
chr17	12400001	12500000	12447130	3511	0.50700000
chr17	12500001	12600000	12554816	4505	0.24000000
chr17	12600001	12700000	12651260	5795	0.24000000
chr17	12700001	12800000	12748761	6181	0.40100000
chr17	12800001	12900000	12850918	6340	0.18400000
chr17	12900001	13000000	12944257	5091	0.04000000
chr17	13000001	13100000	13059861	4203	0.10100000
chr17	13100001	13200000	13149597	6945	0.20000000
chr17	13200001	13300000	13245684	5301	0.05100000
chr17	13300001	13400000	13351701	7532	0.30100000
chr17	13400001	13500000	13450229	6889	0.41100000
chr17	13500001	13600000	13554135	6273	0.17600000
chr17	13600001	13700000	13648147	7020	0.46700000
chr17	13700001	13800000	13746961	7345	0.18100000
chr17	13800001	13900000	13848667	5836	0.08600000
chr17	13900001	14000000	13953052	5873	0.22000000
chr17	14000001	14100000	14044717	5683	0.03400000
chr17	14100001	14200000	14144990	4056	0.02100000
chr17	14200001	14300000	14248597	3641	0.00700000
chr17	14300001	14400000	14355231	4786	0.03400000
chr17	14400001	14500000	14447240	4487	0.10100000
chr17	14500001	14600000	14551700	5143	0.08900000
chr17	14600001	14700000	14647202	3757	0.03400000
chr17	14700001	14800000	14731248	2935	0.02600000
